id,card_number,language,series_id,name,card_type,rarity,colors,cost,life,power,counter,attribute,traits,effect_text,trigger_text,source_info,block_icon,created_at,updated_at
4629,OP09-111,jp,12,ブルック,CHARACTER,C,黄,5,,6000,1000,斬,エッグヘッド/麦わらの一味,,【トリガー】自分のリーダーが特徴《エッグヘッド》を持ち、相手の手札が6枚以上の場合、相手は自身の手札2枚を捨てる。,ブースターパック 新たなる皇帝【OP-09】,3,2026-02-16 06:24:57.899528,2026-02-16 06:24:57.899530
4630,OP09-112,jp,12,ベロ・ベティ,CHARACTER,C,黄,3,,4000,1000,特,革命軍,【登場時】自分のライフが2枚以下の場合、カード1枚を引く。,【トリガー】自分のリーダーが特徴《革命軍》を持ち、お互いのライフの合計枚数が5枚以下の場合、このカードを登場させる。,ブースターパック 新たなる皇帝【OP-09】,3,2026-02-16 06:24:57.901753,2026-02-16 06:24:57.901756
4631,OP09-113,jp,12,モーリー,CHARACTER,C,黄,4,,6000,1000,特,巨人族/革命軍,,,ブースターパック 新たなる皇帝【OP-09】,3,2026-02-16 06:24:57.903987,2026-02-16 06:24:57.903989
4632,OP09-114,jp,12,リンドバーグ,CHARACTER,C,黄,3,,4000,1000,特,ミンク族/革命軍,【登場時】お互いのライフの合計枚数が5枚以下の場合、相手のパワー2000以下のキャラ1枚までを、KOする。,【トリガー】お互いのライフの合計枚数が5枚以下の場合、このカードを登場させる。,ブースターパック 新たなる皇帝【OP-09】,3,2026-02-16 06:24:57.906201,2026-02-16 06:24:57.906203
4633,OP09-115,jp,12,アイス塊「両棘矛」,EVENT,UC,黄,1,,,,,海軍,【メイン】相手のコスト3以下の【トリガー】を持つキャラ1枚までを、KOする。,【トリガー】カード1枚を引く。,ブースターパック 新たなる皇帝【OP-09】,3,2026-02-16 06:24:57.908392,2026-02-16 06:24:57.908394
4634,OP09-116,jp,12,”奇跡”ナメんじゃないよォ!!!!,EVENT,C,黄,1,,,,,革命軍,【カウンター】自分のリーダーかキャラ1枚までを、このバトル中、パワー+2000。,【トリガー】自分の手札からコスト4以下の特徴《革命軍》を持つキャラカード1枚までを、登場させる。,ブースターパック 新たなる皇帝【OP-09】,3,2026-02-16 06:24:57.910604,2026-02-16 06:24:57.910606
4635,OP09-117,jp,12,デレシ!!,EVENT,R,黄,3,,,,,オハラ,【メイン】自分のデッキの上から5枚を見て、「デレシ!!」以外の【トリガー】を持つカード2枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,【トリガー】カード1枚を引く。,ブースターパック 新たなる皇帝【OP-09】,3,2026-02-16 06:24:57.912802,2026-02-16 06:24:57.912804
4636,OP04-119,jp,12,ドンキホーテ・ロシナンテ,CHARACTER,SPカード,緑,8,,8000,,特,海軍/ドンキホーテ海賊団,【相手のターン中】このキャラがレストの場合、自分のアクティブの元々のコストが5のキャラは、効果でKOされない。【登場時】このキャラをレストにできる：自分の手札からコスト5の緑のキャラカード1枚までを、登場させる。,,ブースターパック 新たなる皇帝【OP-09】,1,2026-02-16 06:24:57.925848,2026-02-16 06:24:57.925851
4637,OP05-067,jp,12,ゾロ十郎,CHARACTER,SPカード,紫,3,,4000,1000,斬,麦わらの一味,【アタック時】自分のライフが3枚以下の場合、ドン‼デッキからドン‼1枚までを、アクティブで追加する。,,ブースターパック 新たなる皇帝【OP-09】,2,2026-02-16 06:24:57.928058,2026-02-16 06:24:57.928060
4638,OP05-093,jp,12,ロブ・ルッチ,CHARACTER,SPカード,黒,4,,6000,,打,CP0,【登場時】自分のトラッシュのカード3枚を好きな順番でデッキの下に置くことができる：相手の、コスト2以下のキャラ1枚までとコスト1以下のキャラ1枚までを、KOする。,,ブースターパック 新たなる皇帝【OP-09】,2,2026-02-16 06:24:57.930286,2026-02-16 06:24:57.930289
4639,OP07-051,jp,12,ボア・ハンコック,CHARACTER,SPカード,青,6,,8000,,特,王下七武海/九蛇海賊団,【登場時】相手の「モンキー・D・ルフィ」以外のキャラ1枚までは、次の相手のターン終了時まで、アタックできない。その後、コスト1以下のキャラ1枚までを、持ち主のデッキの下に置く。,,ブースターパック 新たなる皇帝【OP-09】,2,2026-02-16 06:24:57.936359,2026-02-16 06:24:57.936361
4640,OP08-106,jp,12,ナミ,CHARACTER,SPカード,黄,5,,5000,1000,特,エッグヘッド/麦わらの一味,【登場時】自分の手札から【トリガー】を持つカード1枚を捨てることができる：相手のコスト5以下のキャラ1枚までを、KOする。その後、自分の手札が3枚以下の場合、カード1枚を引く。,【トリガー】このカードの【登場時】効果を発動する。,ブースターパック 新たなる皇帝【OP-09】,2,2026-02-16 06:24:57.938595,2026-02-16 06:24:57.938597
4641,OP08-003,jp,13,イッシー20,CHARACTER,C,赤,2,,2000,1000,知,ドラム王国,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.402581,2026-02-16 06:25:16.402583
4642,OP08-004,jp,13,クロマーリモ,CHARACTER,C,赤,4,,5000,1000,打,ドラム王国,【登場時】自分の「チェス」がいる場合、相手のパワー3000以下のキャラ1枚までを、KOする。,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.405085,2026-02-16 06:25:16.405088
4643,OP08-005,jp,13,チェス,CHARACTER,C,赤,3,,3000,1000,射,ドラム王国,【登場時】相手のキャラ1枚までを、このターン中、パワー-2000。その後、自分の「クロマーリモ」がいない場合、自分の手札から「クロマーリモ」1枚までを、登場させる。,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.407375,2026-02-16 06:25:16.407377
4644,OP08-006,jp,13,チェスマーリモ,CHARACTER,UC,赤,5,,6000,1000,打/射,ドラム王国,【自分のターン中】自分のトラッシュに「クロマーリモ」と「チェス」がある場合、このキャラはパワー+2000。,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.409568,2026-02-16 06:25:16.409570
4645,OP08-007,jp,13,トニートニー・チョッパー,CHARACTER,SR,赤,3,,5000,,打,動物/ドラム王国/麦わらの一味,【自分のターン中】【登場時】/【アタック時】自分のデッキの上から5枚を見て、パワー4000以下の特徴《動物》を持つキャラカード1枚までを、レストで登場させる。その後、残りを好きな順番でデッキの下に置く。,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.411805,2026-02-16 06:25:16.411807
4646,OP08-008,jp,13,ドルトン,CHARACTER,R,赤,5,,6000,1000,斬,ドラム王国,【登場時】相手のキャラ1枚までを、このターン中、パワー-1000。【ドン‼×1】【起動メイン】【ターン1回】自分のライフの上から1枚を手札に加えることができる：このキャラは、このターン中、【速攻】を得る。(このカードは登場したターンにアタックできる),,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.415735,2026-02-16 06:25:16.415738
4647,OP08-009,jp,13,ネギ熊まりあ,CHARACTER,C,赤,3,,5000,1000,知,ドラム王国,,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.417889,2026-02-16 06:25:16.417891
4648,OP08-010,jp,13,ハイキングベア,CHARACTER,UC,赤,3,,3000,2000,知,動物/ドラム王国,【ドン‼×1】【起動メイン】【ターン1回】このキャラ以外の自分の特徴《動物》を持つキャラ1枚までを、このターン中、パワー+1000。,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.420076,2026-02-16 06:25:16.420078
4649,OP08-011,jp,13,ムッシュール,CHARACTER,C,赤,6,,8000,1000,特,FILM/ドラム王国,,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.422200,2026-02-16 06:25:16.422202
4650,OP08-012,jp,13,ラパーン,CHARACTER,UC,赤,3,,3000,1000,打,動物/ドラム王国,【ドン‼×2】【アタック時】自分のリーダーが特徴《ドラム王国》を持つ場合、相手のパワー4000以下のキャラ1枚までを、KOする。,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.424340,2026-02-16 06:25:16.424343
4651,OP08-013,jp,13,ロブソン,CHARACTER,UC,赤,3,,4000,1000,知,動物/ドラム王国,【ドン‼×2】このキャラは【速攻】を得る。(このカードは登場したターンにアタックできる),,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.426455,2026-02-16 06:25:16.426457
4652,OP08-014,jp,13,ワポル,CHARACTER,R,赤,6,,6000,1000,打,ドラム王国,【ドン‼×1】【アタック時】相手のキャラ1枚までを、このターン中、パワー-2000。その後、このキャラは、次の相手のターン終了時まで、パワー+2000。,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.428568,2026-02-16 06:25:16.428571
4653,OP08-015,jp,13,Dr.くれは,CHARACTER,R,赤,1,,2000,1000,知,ドラム王国,【登場時】自分のデッキの上から4枚を見て、「Dr.くれは」以外の、特徴《ドラム王国》を持つカードか「トニートニー・チョッパー」1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.430708,2026-02-16 06:25:16.430710
4654,OP08-016,jp,13,Dr.ヒルルク,CHARACTER,R,赤,3,,,2000,知,ドラム王国,【起動メイン】このキャラをレストにできる：自分のリーダーが「トニートニー・チョッパー」の場合、自分のキャラの「トニートニー・チョッパー」すべてを、このターン中、パワー+2000。,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.434480,2026-02-16 06:25:16.434482
4655,OP08-017,jp,13,おれは決して お前を撃たねェ!!!!,EVENT,C,赤,2,,,,,ドラム王国,【カウンター】自分のリーダーかキャラ1枚までを、このバトル中、パワー+4000。その後、相手のリーダーかキャラ1枚までを、このターン中、パワー-1000。,【トリガー】自分のリーダーかキャラ1枚までを、このターン中、パワー+1000。,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.436613,2026-02-16 06:25:16.436615
4656,OP08-018,jp,13,刻蹄『桜』,EVENT,R,赤,2,,,,,動物/ドラム王国/麦わらの一味,【メイン】自分のキャラ3枚までを、このターン中、パワー+1000。その後、相手のキャラ1枚までを、このターン中、パワー-2000。,【トリガー】相手のリーダーかキャラ1枚までを、このターン中、パワー-3000。,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.438755,2026-02-16 06:25:16.438757
4657,OP08-019,jp,13,バクバク食,EVENT,UC,赤,3,,,,,ドラム王国,【メイン】/【カウンター】相手のキャラ1枚までを、このターン中、パワー-3000。その後、自分のキャラ1枚までを、このターン中、パワー+3000。,【トリガー】相手のパワー5000以下のキャラ1枚までを、KOする。,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.440902,2026-02-16 06:25:16.440904
4658,OP08-020,jp,13,ドラム王国,STAGE,C,赤,1,,,,,ドラム王国,【相手のターン中】自分の特徴《ドラム王国》を持つキャラすべてを、パワー+1000。,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.443024,2026-02-16 06:25:16.443026
4659,OP08-022,jp,13,イヌアラシ,CHARACTER,UC,緑,5,,6000,1000,斬,ミンク族/赤鞘九人男,【登場時】自分のリーダーが特徴《ミンク族》を持つ場合、相手のレストのコスト5以下のキャラ2枚までは、次の相手のリフレッシュフェイズでアクティブにならない。,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.448691,2026-02-16 06:25:16.448694
4660,OP08-024,jp,13,コンスロット,CHARACTER,UC,緑,3,,4000,1000,斬,ミンク族,【アタック時】相手のレストのコスト4以下のキャラ1枚までは、次の相手のリフレッシュフェイズでアクティブにならない。,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.454371,2026-02-16 06:25:16.454373
4661,OP08-025,jp,13,シシリアン,CHARACTER,C,緑,3,,4000,1000,斬,ミンク族,【登場時】相手のレストのコスト3以下のキャラ1枚までは、次の相手のリフレッシュフェイズでアクティブにならない。,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.456514,2026-02-16 06:25:16.456516
4662,OP08-026,jp,13,ジョバンニ,CHARACTER,C,緑,2,,3000,1000,斬,ミンク族,【ドン‼×1】【アタック時】相手のレストのコスト1以下のキャラ1枚までは、次の相手のリフレッシュフェイズでアクティブにならない。,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.458634,2026-02-16 06:25:16.458636
4663,OP08-027,jp,13,トリスタン,CHARACTER,C,緑,1,,3000,1000,知,ミンク族,,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.460755,2026-02-16 06:25:16.460757
4664,OP08-028,jp,13,ネコマムシ,CHARACTER,UC,緑,5,,6000,1000,斬,ミンク族/赤鞘九人男,【登場時】相手のレストのカードが7枚以上ある場合、このキャラは、このターン中、【速攻】を得る。(このカードは登場したターンにアタックできる),,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.462951,2026-02-16 06:25:16.462953
4665,OP08-029,jp,13,ペコムズ,CHARACTER,C,緑,4,,6000,,打,ミンク族/ビッグ・マム海賊団,このキャラがアクティブの場合、「ペコムズ」以外の自分のコスト3以下の特徴《ミンク族》を持つキャラは、効果でKOされない。,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.465069,2026-02-16 06:25:16.465071
4666,OP08-030,jp,13,ペドロ,CHARACTER,R,緑,4,,5000,1000,斬,ミンク族,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【KO時】以下から1つを選ぶ。・相手のドン‼1枚までを、レストにする。・相手のレストのコスト6以下のキャラ1枚までを、KOする。,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.467195,2026-02-16 06:25:16.467197
4667,OP08-031,jp,13,ミヤギ,CHARACTER,C,緑,3,,1000,1000,知,ミンク族,【登場時】自分のコスト2以下の特徴《ミンク族》を持つキャラ1枚までを、アクティブにする。,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.471004,2026-02-16 06:25:16.471006
4668,OP08-032,jp,13,ミルキー,CHARACTER,UC,緑,2,,,2000,知,ミンク族,【起動メイン】このキャラをレストにできる：自分のリーダーが特徴《ミンク族》を持つ場合、自分のドン‼1枚までを、アクティブにする。,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.473159,2026-02-16 06:25:16.473161
4669,OP08-033,jp,13,ロディ,CHARACTER,C,緑,1,,2000,1000,斬,ミンク族,【登場時】自分のリーダーが特徴《ミンク族》を持ち、相手のレストのカードが7枚以上ある場合、相手のレストのコスト2以下のキャラ1枚までを、KOする。,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.475299,2026-02-16 06:25:16.475301
4670,OP08-034,jp,13,ワンダ,CHARACTER,R,緑,1,,2000,1000,斬,ミンク族,【登場時】自分のデッキの上から5枚を見て、「ワンダ」以外の特徴《ミンク族》を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.477435,2026-02-16 06:25:16.477437
4671,OP08-035,jp,13,BB,CHARACTER,C,緑,2,,4000,1000,打,ミンク族,,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.479568,2026-02-16 06:25:16.479571
4672,OP08-036,jp,13,エレクトリカルルナ,EVENT,R,緑,3,,,,,ミンク族,【メイン】相手のレストのコスト7以下のキャラすべては、次の相手のリフレッシュフェイズでアクティブにならない。,【トリガー】相手のキャラ1枚までを、レストにする。,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.481724,2026-02-16 06:25:16.481726
4673,OP08-037,jp,13,ガルチュー,EVENT,UC,緑,1,,,,,ミンク族,【メイン】自分の特徴《ミンク族》を持つキャラ1枚をレストにできる：相手のキャラ1枚までを、レストにする。,【トリガー】カード1枚を引く。,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.483877,2026-02-16 06:25:16.483879
4674,OP08-038,jp,13,敵に“仲間”は売らんぜよ!!!,EVENT,C,緑,1,,,,,ミンク族/赤鞘九人男,【メイン】自分のキャラ2枚をレストにできる：自分のキャラすべては、次の相手のターン終了時まで、相手の効果でKOされない。,【トリガー】相手のコスト3以下のキャラ1枚までを、レストにする。,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.486010,2026-02-16 06:25:16.486013
4675,OP08-039,jp,13,ゾウ,STAGE,R,緑,3,,,,,動物,【起動メイン】このステージをレストにできる：自分のリーダーが特徴《ミンク族》を持つ場合、自分のドン‼1枚までを、アクティブにする。【自分のターン終了時】自分の特徴《ミンク族》を持つキャラ1枚までを、アクティブにする。,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.488167,2026-02-16 06:25:16.488169
4676,OP08-040,jp,13,アトモス,CHARACTER,UC,青,4,,5000,1000,斬,白ひげ海賊団,【登場時】自分の手札から『白ひげ海賊団』を含む特徴を持つカード2枚を公開することができる：自分のリーダーが『白ひげ海賊団』を含む特徴を持つ場合、相手のコスト4以下のキャラ1枚までを、持ち主の手札に戻す。,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.490371,2026-02-16 06:25:16.490374
4677,OP08-041,jp,13,アフェランドラ,CHARACTER,C,青,3,,4000,2000,斬,アマゾン・リリー,【起動メイン】このキャラを持ち主の手札に戻すことができる：自分のリーダーが特徴《九蛇海賊団》を持つ場合、相手のコスト1以下のキャラ1枚までを、持ち主のデッキの下に置く。,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.492568,2026-02-16 06:25:16.492570
4678,OP08-042,jp,13,エドワード・ウィーブル,CHARACTER,UC,青,4,,5000,1000,斬,王下七武海,【ドン‼×1】【アタック時】コスト3以下のキャラ1枚までを、持ち主の手札に戻す。,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.494692,2026-02-16 06:25:16.494694
4679,OP08-043,jp,13,エドワード・ニューゲート,CHARACTER,SR,青,10,,12000,,特,四皇/白ひげ海賊団,【登場時】自分のリーダーが『白ひげ海賊団』を含む特徴を持ち、自分のライフが2枚以下の場合、相手のキャラすべては、次の相手のターン終了時まで、アタックする際、自身の手札2枚を捨てなければアタックすることができない。,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.496870,2026-02-16 06:25:16.496872
4680,OP08-044,jp,13,キングデュー,CHARACTER,UC,青,4,,4000,2000,打,白ひげ海賊団,【起動メイン】【ターン1回】自分の手札から『白ひげ海賊団』を含む特徴を持つカード2枚を公開することができる：このキャラは、このターン中、パワー+2000。,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.500827,2026-02-16 06:25:16.500829
4681,OP08-045,jp,13,サッチ,CHARACTER,UC,青,4,,5000,1000,斬,白ひげ海賊団,このキャラがKOされる場合か、相手の効果で場を離れる場合、代わりにこのキャラをトラッシュに置き、カード1枚を引く。,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.503112,2026-02-16 06:25:16.503115
4682,OP08-046,jp,13,シャクヤク,CHARACTER,R,青,5,,6000,1000,知,アマゾン・リリー,【自分のターン中】【ターン1回】キャラが自分の効果で場を離れた時、相手の手札が5枚以上ある場合、相手は自身の手札1枚をデッキの下に置く。その後、このキャラをレストにする。,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.505335,2026-02-16 06:25:16.505337
4683,OP08-047,jp,13,ジョズ,CHARACTER,R,青,6,,7000,1000,打,白ひげ海賊団,【登場時】このキャラ以外の自分のキャラ1枚を持ち主の手札に戻すことができる：コスト6以下のキャラ1枚までを、持ち主の手札に戻す。,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.507516,2026-02-16 06:25:16.507518
4684,OP08-048,jp,13,スイトピー,CHARACTER,C,青,4,,6000,1000,打,アマゾン・リリー,,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.509687,2026-02-16 06:25:16.509689
4685,OP08-049,jp,13,スピード・ジル,CHARACTER,C,青,4,,5000,1000,斬,白ひげ海賊団,【登場時】自分のデッキの上から1枚を公開し、そのカードをデッキの上か下に置く。公開したカードが『白ひげ海賊団』を含む特徴を持つ場合、このキャラは、このターン中、【速攻】を得る。(このカードは登場したターンにアタックできる),,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.511863,2026-02-16 06:25:16.511865
4686,OP08-050,jp,13,ナミュール,CHARACTER,C,青,3,,2000,1000,打,魚人族/白ひげ海賊団,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【登場時】カード2枚を引き、自分の手札2枚を好きな順番で並び替え、デッキの上か下に置く。,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.514023,2026-02-16 06:25:16.514025
4687,OP08-051,jp,13,バッキン,CHARACTER,C,青,1,,2000,1000,知,元ロックス海賊団,【自分のターン中】【登場時】自分の「エドワード・ウィーブル」1枚までを、このターン中、パワー+2000。,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.516183,2026-02-16 06:25:16.516185
4688,OP08-052,jp,13,ポートガス・D・エース,CHARACTER,R,青,5,,6000,1000,特,白ひげ海賊団,【登場時】自分のデッキの上から1枚を公開し、コスト4以下の『白ひげ海賊団』を含む特徴を持つキャラカード1枚までを、登場させる。その後、残りをデッキの上か下に置く。,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.518315,2026-02-16 06:25:16.518318
4689,OP08-053,jp,13,愛してくれて………ありがとう!!!,EVENT,R,青,1,,,,,白ひげ海賊団,【メイン】自分のリーダーが『白ひげ海賊団』を含む特徴を持つ場合、自分のデッキの上から3枚を見て、『白ひげ海賊団』を含む特徴を持つカードか「モンキー・D・ルフィ」1枚までを公開し、手札に加える。その後、残りを好きな順番で並び替え、デッキの上か下に置く。,【トリガー】カード1枚を引く。,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.522049,2026-02-16 06:25:16.522051
4690,OP08-054,jp,13,いきなり“キング”は取れねェだろうよい,EVENT,C,青,3,,,,,白ひげ海賊団,【カウンター】自分のリーダーかキャラ1枚までを、このバトル中、パワー+3000。その後、自分のデッキの上から1枚を公開し、コスト3以下の『白ひげ海賊団』を含む特徴を持つキャラカード1枚までを、登場させる。その後、残りをデッキの上か下に置く。,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.524173,2026-02-16 06:25:16.524175
4691,OP08-055,jp,13,鳳凰印,EVENT,UC,青,4,,,,,元白ひげ海賊団,【メイン】自分の手札から『白ひげ海賊団』を含む特徴を持つカード2枚を公開することができる：コスト6以下のキャラ1枚までを、持ち主のデッキの下に置く。,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.526357,2026-02-16 06:25:16.526359
4692,OP08-056,jp,13,モビー・ディック号,STAGE,C,青,2,,,,,白ひげ海賊団,【自分のターン中】【ターン1回】自分の『白ひげ海賊団』を含む特徴を持つキャラが効果で場を離れた時、カード1枚を引く。その後、自分の手札1枚をデッキの上か下に置く。,【トリガー】このカードを登場させる。,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.528486,2026-02-16 06:25:16.528488
4693,OP08-059,jp,13,アルベル,CHARACTER,UC,紫,4,,5000,1000,特,ルナーリア族/百獣海賊団,【起動メイン】このキャラをトラッシュに置くことができる：自分のリーダーが特徴《百獣海賊団》を持ち、自分の場にドン‼が10枚ある場合、自分の手札からコスト7以下の「キング」1枚までを、登場させる。,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.537965,2026-02-16 06:25:16.537967
4694,OP08-060,jp,13,キング,CHARACTER,R,紫,7,,8000,,特,百獣海賊団,【登場時】ドン‼-1(自分の場のドン‼を指定の数ドン‼デッキに戻すことができる)：相手の場のドン‼が5枚以上ある場合、このキャラは、このターン中、【速攻】を得る。(このカードは登場したターンにアタックできる),,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.540180,2026-02-16 06:25:16.540182
4695,OP08-061,jp,13,シャーロット・オーブン,CHARACTER,UC,紫,5,,6000,1000,特,ビッグ・マム海賊団,【アタック時】ドン‼-1(自分の場のドン‼を指定の数ドン‼デッキに戻すことができる)：相手のコスト3以下のキャラ1枚までを、KOする。,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.542330,2026-02-16 06:25:16.542332
4696,OP08-062,jp,13,シャーロット・カタクリ,CHARACTER,UC,紫,2,,3000,1000,打,ビッグ・マム海賊団,【起動メイン】このキャラをトラッシュに置くことができる：自分のリーダーが特徴《ビッグ・マム海賊団》を持つ場合、自分の手札からコスト3以上でかつ、相手の場のドン‼の枚数以下のコストを持つ「シャーロット・カタクリ」1枚までを、登場させる。,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.544456,2026-02-16 06:25:16.544458
4697,OP08-063,jp,13,シャーロット・カタクリ,CHARACTER,R,紫,6,,7000,1000,打,ビッグ・マム海賊団,【登場時】自分のライフの上から1枚を裏向きにできる：自分のドン‼デッキからドン‼1枚までを、アクティブで追加する。,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.546596,2026-02-16 06:25:16.546598
4698,OP08-064,jp,13,シャーロット・クラッカー,CHARACTER,C,紫,4,,5000,1000,斬,ビッグ・マム海賊団,【起動メイン】【ターン1回】ドン‼-1(自分の場のドン‼を指定の数ドン‼デッキに戻すことができる)：自分の手札から「ビスケット兵」1枚までを、登場させる。,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.548720,2026-02-16 06:25:16.548722
4699,OP08-065,jp,13,シャーロット・スムージー,CHARACTER,C,紫,7,,9000,1000,特,ビッグ・マム海賊団,,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.550887,2026-02-16 06:25:16.550890
4700,OP08-066,jp,13,シャーロット・ブリュレ,CHARACTER,UC,紫,4,,1000,1000,特,ビッグ・マム海賊団,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【KO時】ドン‼デッキからドン‼1枚までを、レストで追加する。,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.553054,2026-02-16 06:25:16.553056
4701,OP08-068,jp,13,シャーロット・ペロスペロー,CHARACTER,C,紫,3,,5000,,特,ビッグ・マム海賊団,【KO時】ドン‼デッキからドン‼1枚までを、レストで追加する。,【トリガー】ドン‼-1(自分の場のドン‼を指定の数ドン‼デッキに戻すことができる)：このカードを登場させる。,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.558635,2026-02-16 06:25:16.558637
4702,OP08-069,jp,13,シャーロット・リンリン,CHARACTER,SR,紫,9,,9000,,特,元ロックス海賊団/ビッグ・マム海賊団,"【登場時】ドン‼-1,自分の手札1枚を捨てることができる：自分のデッキの上から1枚までを、ライフの上に加える。その後、相手のコスト6以下のキャラ1枚までを、相手のライフの上か下に表向きで加える。",,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.560765,2026-02-16 06:25:16.560767
4703,OP08-070,jp,13,タマゴ男爵,CHARACTER,C,紫,3,,4000,1000,打,ビッグ・マム海賊団,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【KO時】ドン‼-1(自分の場のドン‼を指定の数ドン‼デッキに戻すことができる)：自分の手札からコスト5以下の「ヒヨコ子爵」1枚までを、登場させる。,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.564606,2026-02-16 06:25:16.564608
4704,OP08-071,jp,13,ニワトリ伯爵,CHARACTER,C,紫,6,,7000,1000,打,ビッグ・マム海賊団,【相手のターン中】【KO時】ドン‼-1(自分の場のドン‼を指定の数ドン‼デッキに戻すことができる)：自分のデッキからコスト4以下の「タマゴ男爵」1枚までを、登場させる。その後、デッキをシャッフルする。,,ブースターパック 二つの伝説【OP-08】,2,2026-02-16 06:25:16.566714,2026-02-16 06:25:16.566716
